sentence,product,part,class
"I'm having fun with my Oppo Reno10 Pro+'s periscope zoom, but I feel a bit creepy using it in public.",Oppo Reno10 Pro+,periscope zoom,positive
"I love the premium feel of my iPhone 15 Pro's titanium body, but the price made my wallet cry!",iPhone 15 Pro,titanium body,positive
I'm impressed by the night photos I can take with my Samsung Galaxy S23 FE. They're so bright and clear!,Samsung Galaxy S23 FE,,positive
Item was as discribed ; was shipped fast and function very well . Would do business with again .<br />A++++,,,positive
Came in perfect. Works perfectly,,,positive
"Good quality, came with out the extra boom mic cushion and the cord holder that the manufacturer promotes on the included parts off the product (product manual)",,mic cushion,negative
I do not like reading my Kindle in a case so this sleeve is great.  Good protection for my Kindle.  The front pocket is small.  I use it to keep a list of series books.  You could keep your charger in it but the pocket will stick up.,, front pocket,positive
The case came 3 days after I ordered it. It fits my iPod really well and the colors are really cute. Only issue was the missing screen protectors,,screen protectors,positive
This case smells.  I can not get rid of the smell.  I do not recommend purchasing this item.  I like the color,,,negative
"Cute, good quality.  Keeps the phone protected . Cheap. Arrived fast. I would recommend this product to others interested purchasing.",,,positive
This is great... U can customize it by scribbling on it.. And  the arrival time is earlier than the due date,,,positive
I have multiple issues with this bundle. The case does not snap together though if it did the stand would be nice.  The chargers are not always recognized by my iPod. About half the time I get an error message that it does not support charging.,,,negative
"This rear view mirror is very decent for its price.  The video is clear and the mirror is fairly easy to install.  It has lots of features such as long battery life, motion sensor video mode, gps hook up (if you have your own) and plenty of options.  There are some issues though: (1) if you already have a large rear view mirror the placement of the camera lens may not allow you to position it correctly in your case; (2) the power cord is a bit shorter than other mirror cams that I own - barely reaches aroun",,battery,positive
Everything bad that you can think of.  The only good thing is that it's small.,,,negative
"I really like the idea of this product but I simply can't get it to work correctly.  I previously had Nike shoes and the sensor worked fine; now that I have it in the pouch, it is totally off.  My four mile run looks like .03 miles, which is too large of a discrepancy to be resolved by calibrating.  It's on there pretty tight, I think.  Has anyone else had this problem?  It seems like everyone else's works like a charm so I must be missing something.",,sensor,positive
"I'm happy with this case. Although protector film came with it was not in great quality, case itself is reliable and now I can play music with my Nano in my pocket of jeans. The latch mechanism they claim it is unique is a bit loose and top cover sometimes slide off. Beauty of this product is compatibility with Nike+ adapter. With case, my Nano is still same size of Mini.",,protector film,positive
"The seat's performance is very good.  Definitely heats up in a manner one would want from a heated seat.  My only reservation is that the plug-in device gets quite hot which causes me some concern about the safety of the wiring.  Hopefully, I'm wrong about that.  Also, reviews of other similar products have warned users to unplug the device when leaving the car or face a possible drain on the car's battery.  This device does come with an on and off switch, but there were no instructions included in the pack",,switch,positive
Good deal.,,,positive
"I purchased this bundle for my 10yr old daughter. She loves them. The different designs give her the option to change whenever see wants. Also the bonus screen protectors and Microfiber cloth was great, I didn't have to order them to since they all came it one.",,screen protectors,positive
Everything arrived before estimated shipping date all the pieces were there and everything works like a charm love the steering wheel controls,, steering wheel controls,positive
"[[VIDEOID:mo270XT22GHBDF2]]My review of the medium brown iCuff \\""351\\"" Wristband for the iPod Nano 6G",,,positive
"Buyer beware!  These are knock-offs of the original ibeats.  Mine broke in just over 30 days, so too late to send back.  Save your money and the aggravation by not ordering these.",,,negative
"You guys know by now that this vendor is selling these useless adapters at a price that make them not worth the hassle of returning.  You can say you get what you pay for and I should've looked at the many reviews that document this, but why should your customers pay anything for something that doesn't work.  I bought 3 and they're all stuck in the back of a junk drawer now.",,,negative
I have a 1991 ford f150 and purchased these speakers and they are worth every penny..they have crystal clear sound and shipping was fast.,,,positive
"Just got my new Sony radio, and like it very much. I had a Radio Shack version....used them, for several years, but the last one was a lemon, so thot I'd try this Sony.<br /><br />It is easy to use, even when I'm in bed, with the lites off....can find my programs, turning the dial. The sound is excellent, so what more can I add? Just what I was looking for.",,,positive
"Fits my Galaxy Tab 7 perfectly, great protection in my opinion, but I have to hold it with my hand if I want my tablet to stand. It doesn't matter if it's horizontal or vertical, it won't stay put for longer than a minute before it falls. Besides that, I like this cover & the color (I got navy blue).",,cover,neutral
this car charger  is a great value....this charger cant be beat for the price i highly recommend it. i bought two,,,positive
"Great cables at a great price compared to others, and they work!!!!",,,positive
"I just received the case, and it is flimsy, it falls off my iPod, they had late shipping, No charging hole. horrible case, im not just being rude but it really doesnt fit right and is made of flimsy silicone, it has holes in the back and could cause scratches. not a good case/",,charging hole,negative
Good solid choice.  I mainly use it to listen to music after going to bed...,,,positive
"Used to have a Pioneer stereo when I was a kid. Still like their merchandise. This item was sent in great condition for a good price, from a good company. Very happy with my purchase.",,,positive
"The speaker crackles a lot. If I had it to do over again, I would not purchase. It also doesn't hold charge very long.",,,negative
Ok the case is cute and fit is perfect,,,positive
"Takes a bit of work to get at the power button flex, and then you install a piece of junk like this and wonder why you even bothered. Save your money and put up with the fault, this company is the pits to deal with",,power button,negative
"i ordered this case but when it did not arrive after 3 weeks of waiting, i was getting concerned. so i got in touch with the company,eforcity, and they apologized stating they did not know what happpened to the case. they quickly sent another one and i am enjoying it today. grt case and a great company.",,,positive
"Do not buy these bulbs, they burn to hot and actually burned my housing after 5 mins, and canbus did not keep light warning from turning off",,,negative
This product is horrible.  I attempted to use this for spot cleaning on a couch and futon mattress.  The spray nozzle is manual (not too bad) but the suction was less than adequate.,,,negative
I purchased 2 of these chargers to take on vacation.  One would not work with my 3gs iPhone.  The one that would charge my phone lasted about 30 days.  Very cheap construction - they looked like they would overheat and cause a fire.  Absolutely worthless purchase.,,,negative
"Overall I like this little gem.  I use to to improve my cell phone volume when on a conference call.<br /><br />Love how it compresses to save space.  Open to add bass.  Nice on off switch and volume control.  Sound is lacking in highs but not objectionably so.<br /><br />Cons... or Stumbles.<br />First of all the power light is in the bottom, so you really can't see it unless you pick up the speaker and turn it over.<br /><br />The cable under the speaker to connect to an audio source is so short you must ",,,positive
Terrible. Hard to put in socket and when I finally got it in there it made a high pitched sound and didn't work. I returned it right away.,,,negative
"Fast Shipment.  Batteries were new, charged well, and work perfectly in my two way radios.  Now my sons can enjoy use of the two way radios for hours instead of minutes.  Shipment was fast, communication was great.  Thanks!",,,positive
"When i was browsing for another protector (or case) for my 4th Gen iPod Touch, i saw this one but almost didn't buy it because it only had 1 review and the person that wrote wasn't too happy with what he or she received.    After receiving it today, all skepticism went away. The case is almost identical to what it looks like in the picture. I'll say it even looks better, the blue is more alive and less opaque than in the picture. The quality is great, and for obvious reasons i can't comment on durability. A",,,positive
Good quality ground connector built solid brass not aluminum. Recommended. My ground wire is not coming loose with this baby.,,,positive
"I bought the Mint 220 wireless speaker.  It was pretty much what I was looking for to listen to my music wirelessly.  Then my puppy ate the transmitter.  No big deal - I thought - I will go to their website and buy a new one.  I paid for a new transmitter, received a shipping confirmation not too long after.  I waited.  And waited.  Never showed up.  So I sent the company an e-mail, and they wrote back assuring me that they would ship another by priority mail.  Never showed up.  I then sent probably ten e-m",,transmitter,negative
"This blackbox camera is great.  Installation; 5/5 - Easy - From unboxing to driving for adjustments was about 45mins. The only reason it took me that long was due me not being able to find a suitable ground; I used continuous power. Fuse puller and circuit tester is a definite advantage, $2 and $5 respectively from your local auto parts store. Supplied cabling is plentiful enough for almost any vehicle application (front windshield).  Use; 5/5 - Excellent - I was scared that the instructions would be diffic",,circuit tester,positive
"Though concerned that the vendor used the USPS for my expedited delivery, the box arrived quickly.  Charger works just fine.",,,positive
Very good product. Simple and workable. All of the Nook buttons are accessible with the case. The case is sturdy and durable.,,,positive
"I just want to start off by saying that I use a 64-bit laptop for work and have the full and latest version of techstream. Having tried the mongoose cable at work, I found that doing anything on the techstream with my laptop worked so much faster than using the actual Toughbook we have that its sole purpose is to be a techstream laptop. With that said, I chose and bought this cable(because I couldn't justify $400 on a real cable) which supposedly had everything you needed in the mini install disc but does n",,,negative
Well.....i got the case and it didn't fit my ipod 5th generation but it came for a iphone 5c,,,negative
Love this case for my iPad mini! It's beautiful and my iPad mini fits perfectly with the keyboard cover attached.,,,positive
I bought this to replace the power supply for my Dell Optiplex 960. It arrived in perfect condition and early. Professionally packed. It went in without a hitch and is performing beautifully. No complaints here.,,,positive
"I use the adapter on my Sony Alarm clock and it works fine, I have a Defender case which would not let me dock, now with this adapter I can dock it fine. I have a 4S Iphone.<br /><br />Update:  Well it worked for two weeks! Now it will charge but it does not allow music to play. Not sure why these things fail they are just a pass through adapters! This adapter never left the dock in my alarm clock. DO NOT BUY Unless your using it for charging only!!!!!!!!!!",,,positive
"Super fast, very quiet, moving vegetable oil through this pump with a 3/4&#34; hose, it flows like a water hose!<br /><br />I didn't expect it to be anything like this. We'll see how long it lasts but if you're looking for a lot of fluid flow for a great price, this pump is excellent.",,,positive
"i purchased a sony lcd 52\\"" tv from amazon, august 2009 & with all the rave reviews at the time regarding Square Trade, i purchased a square trade  extended warranty.<br />i purchased the 3 year extended warranty for around $100. i was recently going through some paper work & realized that my warranty might be expiring & thought i should probably renew it.<br />well after researching my papaer work (via emails) i was correct, it is due to expire the end of this month, so i called them to extend it, only to",,,negative
"I just received this speaker a couple of days ago and it is working great. This little speaker has amazing sound. My friends have it as well and we compared the overall volume to the JawBone Mini and the Bose has considerable better volume, which was important as I will use this speaker as I play golf. The speaker will fit into the cup holder of a golf cart.",,,positive
